%time,field.header.seq,field.header.stamp,field.header.frame_id,field.before_tracking,field.after_tracking,field.after_matching,field.after_ransac
1403636858651666500,0,1403636858651666500,,0,0,688,0
1403636858701666500,1,1403636858701666500,,40,40,31,28
1403636858751666500,2,1403636858751666500,,33,33,27,25
1403636858801666500,3,1403636858801666500,,28,28,24,23
1403636858851666500,4,1403636858851666500,,27,27,24,16
1403636858901666500,5,1403636858901666500,,24,24,20,17
1403636858951666500,6,1403636858951666500,,24,24,22,21
1403636859001666500,7,1403636859001666500,,26,26,24,21
1403636859051666500,8,1403636859051666500,,26,26,25,22
1403636859101666500,9,1403636859101666500,,32,31,29,24
1403636859151666500,10,1403636859151666500,,36,36,31,26
1403636859201666500,11,1403636859201666500,,33,33,30,30
1403636859251666500,12,1403636859251666500,,37,36,31,29
1403636859301666500,13,1403636859301666500,,36,36,33,30
1403636859351666500,14,1403636859351666500,,36,36,34,32
1403636859401666500,15,1403636859401666500,,39,39,37,29
1403636859451666500,16,1403636859451666500,,39,39,38,34
1403636859501666500,17,1403636859501666500,,42,42,40,38
1403636859551666500,18,1403636859551666500,,46,46,45,41
1403636859601666500,19,1403636859601666500,,46,46,41,36
1403636859651666500,20,1403636859651666500,,45,45,40,31
1403636859701666500,21,1403636859701666500,,45,45,44,35
1403636859751666500,22,1403636859751666500,,49,48,47,26
1403636859801666500,23,1403636859801666500,,49,49,45,33
1403636859851666500,24,1403636859851666500,,51,51,47,38
1403636859901666500,25,1403636859901666500,,59,59,56,55
1403636859951666500,26,1403636859951666500,,59,58,55,44
1403636860001666500,27,1403636860001666500,,59,58,56,54
1403636860051666500,28,1403636860051666500,,61,61,60,59
1403636860101666500,29,1403636860101666500,,62,62,62,59
1403636860151666500,30,1403636860151666500,,63,63,61,56
1403636860201666500,31,1403636860201666500,,62,61,60,45
1403636860251666500,32,1403636860251666500,,59,59,58,52
1403636860301666500,33,1403636860301666500,,60,58,56,52
1403636860351666500,34,1403636860351666500,,57,54,52,45
1403636860401666500,35,1403636860401666500,,58,55,47,35
1403636860451666500,36,1403636860451666500,,51,50,45,40
1403636860501666500,37,1403636860501666500,,48,45,33,25
1403636860551666500,38,1403636860551666500,,40,39,35,26
