%time,field.header.seq,field.header.stamp,field.header.frame_id,field.before_tracking,field.after_tracking,field.after_matching,field.after_ransac
1403637131788319000,3063,1403637131788319000,,25,25,25,25
1403637131838319000,3064,1403637131838319000,,25,25,25,25
1403637131888319000,3065,1403637131888319000,,25,25,25,25
1403637131938319000,3066,1403637131938319000,,27,27,26,25
1403637131988319000,3067,1403637131988319000,,26,26,26,26
1403637132038319000,3068,1403637132038319000,,27,27,27,26
1403637132088319000,3069,1403637132088319000,,26,26,26,23
1403637132138319000,3070,1403637132138319000,,28,28,26,26
1403637132188319000,3071,1403637132188319000,,27,27,26,26
1403637132238319000,3072,1403637132238319000,,28,28,27,26
1403637132288319000,3073,1403637132288319000,,26,26,26,25
1403637132338319000,3074,1403637132338319000,,26,26,26,26
1403637132388319000,3075,1403637132388319000,,27,27,26,26
1403637132438319000,3076,1403637132438319000,,27,27,26,26
1403637132488319000,3077,1403637132488319000,,26,26,26,26
1403637132538319000,3078,1403637132538319000,,26,26,26,26
1403637132588319000,3079,1403637132588319000,,26,26,26,26
1403637132638319000,3080,1403637132638319000,,27,27,26,25
1403637132688319000,3081,1403637132688319000,,27,27,26,26
1403637132738319000,3082,1403637132738319000,,27,27,27,26
1403637132788319000,3083,1403637132788319000,,26,26,26,26
1403637132838319000,3084,1403637132838319000,,27,27,27,26
1403637132888319000,3085,1403637132888319000,,26,26,26,26
1403637132938319000,3086,1403637132938319000,,27,27,26,25
1403637132988319000,3087,1403637132988319000,,30,30,25,25
1403637133038319000,3088,1403637133038319000,,25,25,25,24
1403637133088319000,3089,1403637133088319000,,25,25,25,25
1403637133138319000,3090,1403637133138319000,,26,26,26,26
1403637133188319000,3091,1403637133188319000,,26,26,25,25
1403637133238319000,3092,1403637133238319000,,26,26,25,25
1403637133288319000,3093,1403637133288319000,,27,27,26,26
1403637133338319000,3094,1403637133338319000,,26,26,25,23
1403637133388319000,3095,1403637133388319000,,28,28,25,23
1403637133438319000,3096,1403637133438319000,,32,32,29,26
1403637133488319000,3097,1403637133488319000,,32,32,28,26
1403637133538319000,3098,1403637133538319000,,35,34,31,25
1403637133588319000,3099,1403637133588319000,,32,32,31,25
1403637133638319000,3100,1403637133638319000,,30,30,29,22
1403637133688319000,3101,1403637133688319000,,32,32,30,26
1403637133738319000,3102,1403637133738319000,,32,32,27,24
1403637133788319000,3103,1403637133788319000,,32,32,28,27
1403637133838319000,3104,1403637133838319000,,31,31,27,25
1403637133888319000,3105,1403637133888319000,,34,34,30,25
1403637133938319000,3106,1403637133938319000,,34,34,32,29
1403637133988319000,3107,1403637133988319000,,35,35,33,31
1403637134038319000,3108,1403637134038319000,,40,40,39,33
1403637134088319000,3109,1403637134088319000,,45,45,44,40
1403637134138319000,3110,1403637134138319000,,51,51,50,45
1403637134188319000,3111,1403637134188319000,,52,52,51,44
1403637134238319000,3112,1403637134238319000,,53,53,52,32
1403637134288319000,3113,1403637134288319000,,58,56,52,41
1403637134338319000,3114,1403637134338319000,,55,53,53,49
1403637134388319000,3115,1403637134388319000,,61,60,60,55
1403637134438319000,3116,1403637134438319000,,62,60,60,56
1403637134488319000,3117,1403637134488319000,,63,63,61,56
1403637134538319000,3118,1403637134538319000,,62,62,62,60
1403637134588319000,3119,1403637134588319000,,63,63,62,62
1403637134638319000,3120,1403637134638319000,,63,63,62,49
1403637134688319000,3121,1403637134688319000,,58,55,54,49
1403637134738319000,3122,1403637134738319000,,58,58,56,51
1403637134788319000,3123,1403637134788319000,,59,53,49,36
1403637134838319000,3124,1403637134838319000,,53,53,50,38
1403637134888319000,3125,1403637134888319000,,52,51,43,31
1403637134938319000,3126,1403637134938319000,,49,47,38,24
1403637134988319000,3127,1403637134988319000,,35,33,30,16
1403637135038319000,3128,1403637135038319000,,37,35,29,21
1403637135088319000,3129,1403637135088319000,,29,28,21,17
1403637135138319000,3130,1403637135138319000,,25,23,17,14
1403637135188319000,3131,1403637135188319000,,25,25,24,19
1403637135238319000,3132,1403637135238319000,,27,24,24,20
1403637135288319000,3133,1403637135288319000,,29,27,23,14
1403637135338319000,3134,1403637135338319000,,26,26,18,15
1403637135388319000,3135,1403637135388319000,,25,25,23,12
1403637135438319000,3136,1403637135438319000,,28,28,25,18
1403637135488319000,3137,1403637135488319000,,34,34,30,24
1403637135538319000,3138,1403637135538319000,,31,31,28,26
1403637135588319000,3139,1403637135588319000,,43,43,38,28
1403637135638319000,3140,1403637135638319000,,50,49,47,36
1403637135688319000,3141,1403637135688319000,,48,47,47,31
1403637135738319000,3142,1403637135738319000,,54,51,49,43
1403637135788319000,3143,1403637135788319000,,55,55,55,49
1403637135838319000,3144,1403637135838319000,,62,62,60,59
1403637135888319000,3145,1403637135888319000,,62,62,62,59
1403637135938319000,3146,1403637135938319000,,64,64,64,63
1403637135988319000,3147,1403637135988319000,,64,64,63,57
1403637136038319000,3148,1403637136038319000,,61,61,61,57
1403637136088319000,3149,1403637136088319000,,63,61,58,51
1403637136138319000,3150,1403637136138319000,,61,60,57,42
1403637136188319000,3151,1403637136188319000,,61,61,57,47
1403637136238319000,3152,1403637136238319000,,59,58,53,38
1403637136288319000,3153,1403637136288319000,,53,51,48,37
1403637136338319000,3154,1403637136338319000,,52,49,44,29
1403637136388319000,3155,1403637136388319000,,43,41,32,26
1403637136438319000,3156,1403637136438319000,,32,28,22,16
1403637136488319000,3157,1403637136488319000,,30,28,20,14
1403637136538319000,3158,1403637136538319000,,29,27,21,14
