%time,field.header.seq,field.header.stamp,field.header.frame_id,field.before_tracking,field.after_tracking,field.after_matching,field.after_ransac
1403638134995097000,5891,1403638134995097000,,61,61,60,59
1403638135045097000,5892,1403638135045097000,,61,61,61,57
1403638135095097000,5893,1403638135095097000,,63,63,62,60
1403638135145097000,5894,1403638135145097000,,63,62,61,61
1403638135195097000,5895,1403638135195097000,,62,61,61,56
1403638135245097000,5896,1403638135245097000,,62,62,62,62
1403638135295097000,5897,1403638135295097000,,62,62,61,61
1403638135345097000,5898,1403638135345097000,,62,62,60,52
1403638135395097000,5899,1403638135395097000,,60,60,59,59
1403638135445097000,5900,1403638135445097000,,61,61,57,57
1403638135495097000,5901,1403638135495097000,,58,56,40,38
1403638135545097000,5902,1403638135545097000,,47,47,42,39
1403638135595097000,5903,1403638135595097000,,48,48,46,43
1403638135645097000,5904,1403638135645097000,,55,55,55,47
1403638135695097000,5905,1403638135695097000,,59,59,55,46
1403638135745097000,5906,1403638135745097000,,60,60,59,55
1403638135795097000,5907,1403638135795097000,,61,61,60,57
1403638135845097000,5908,1403638135845097000,,60,60,59,47
1403638135895097000,5909,1403638135895097000,,58,57,54,48
1403638135945097000,5910,1403638135945097000,,57,57,56,51
1403638135995097000,5911,1403638135995097000,,59,58,56,55
1403638136045097000,5912,1403638136045097000,,56,56,53,42
1403638136095097000,5913,1403638136095097000,,58,58,55,53
1403638136145097000,5914,1403638136145097000,,60,60,56,49
1403638136195097000,5915,1403638136195097000,,57,57,49,47
1403638136245097000,5916,1403638136245097000,,52,52,52,50
1403638136295097000,5917,1403638136295097000,,55,55,55,54
1403638136345097000,5918,1403638136345097000,,60,60,54,48
1403638136395097000,5919,1403638136395097000,,58,58,55,53
1403638136445097000,5920,1403638136445097000,,60,59,57,51
1403638136495097000,5921,1403638136495097000,,62,61,59,54
1403638136545097000,5922,1403638136545097000,,63,62,58,56
1403638136595097000,5923,1403638136595097000,,60,60,59,59
1403638136645097000,5924,1403638136645097000,,60,60,60,59
1403638136695097000,5925,1403638136695097000,,60,60,59,59
1403638136745097000,5926,1403638136745097000,,62,62,61,58
1403638136795097000,5927,1403638136795097000,,63,63,61,57
1403638136845097000,5928,1403638136845097000,,58,58,58,50
1403638136895097000,5929,1403638136895097000,,61,61,58,50
1403638136945097000,5930,1403638136945097000,,61,61,57,53
1403638136995097000,5931,1403638136995097000,,58,57,55,50
1403638137045097000,5932,1403638137045097000,,61,61,57,51
1403638137095097000,5933,1403638137095097000,,60,59,58,50
1403638137145097000,5934,1403638137145097000,,59,58,50,41
1403638137195097000,5935,1403638137195097000,,52,52,50,41
1403638137245097000,5936,1403638137245097000,,58,57,55,40
1403638137295097000,5937,1403638137295097000,,63,63,59,47
1403638137345097000,5938,1403638137345097000,,56,52,50,39
1403638137395097000,5939,1403638137395097000,,53,53,52,48
1403638137445097000,5940,1403638137445097000,,56,52,49,46
1403638137495097000,5941,1403638137495097000,,61,58,50,44
1403638137545097000,5942,1403638137545097000,,56,51,46,32
1403638137595097000,5943,1403638137595097000,,45,44,35,25
1403638137645097000,5944,1403638137645097000,,38,38,35,27
1403638137695097000,5945,1403638137695097000,,33,33,28,27
1403638137745097000,5946,1403638137745097000,,34,34,30,26
1403638137795097000,5947,1403638137795097000,,30,30,28,25
1403638137845097000,5948,1403638137845097000,,29,29,26,26
1403638137895097000,5949,1403638137895097000,,27,24,22,16
1403638137945097000,5950,1403638137945097000,,27,25,21,19
1403638137995097000,5951,1403638137995097000,,26,22,18,16
1403638138045097000,5952,1403638138045097000,,26,26,23,16
1403638138095097000,5953,1403638138095097000,,23,23,22,19
1403638138145097000,5954,1403638138145097000,,25,25,23,17
1403638138195097000,5955,1403638138195097000,,26,26,26,20
1403638138245097000,5956,1403638138245097000,,29,29,28,24
1403638138295097000,5957,1403638138295097000,,29,29,27,25
1403638138345097000,5958,1403638138345097000,,30,30,29,23
1403638138395097000,5959,1403638138395097000,,31,31,30,30
1403638138445097000,5960,1403638138445097000,,33,33,32,30
1403638138495097000,5961,1403638138495097000,,33,33,33,32
1403638138545097000,5962,1403638138545097000,,34,34,33,33
1403638138595097000,5963,1403638138595097000,,34,34,34,34
1403638138645097000,5964,1403638138645097000,,36,36,35,34
1403638138695097000,5965,1403638138695097000,,35,35,35,34
1403638138745097000,5966,1403638138745097000,,34,34,34,32
1403638138795097000,5967,1403638138795097000,,32,32,32,31
1403638138845097000,5968,1403638138845097000,,32,32,32,32
1403638138895097000,5969,1403638138895097000,,34,34,33,31
1403638138945097000,5970,1403638138945097000,,35,35,34,32
1403638138995097000,5971,1403638138995097000,,34,34,32,31
1403638139045097000,5972,1403638139045097000,,32,32,32,32
1403638139095097000,5973,1403638139095097000,,34,34,34,33
1403638139145097000,5974,1403638139145097000,,34,34,34,34
1403638139195097000,5975,1403638139195097000,,34,34,34,34
1403638139245097000,5976,1403638139245097000,,35,35,35,35
1403638139295097000,5977,1403638139295097000,,35,35,35,34
1403638139345097000,5978,1403638139345097000,,35,35,34,34
