%time,field.header.seq,field.header.stamp,field.header.frame_id,field.child_frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.pose.covariance0,field.pose.covariance1,field.pose.covariance2,field.pose.covariance3,field.pose.covariance4,field.pose.covariance5,field.pose.covariance6,field.pose.covariance7,field.pose.covariance8,field.pose.covariance9,field.pose.covariance10,field.pose.covariance11,field.pose.covariance12,field.pose.covariance13,field.pose.covariance14,field.pose.covariance15,field.pose.covariance16,field.pose.covariance17,field.pose.covariance18,field.pose.covariance19,field.pose.covariance20,field.pose.covariance21,field.pose.covariance22,field.pose.covariance23,field.pose.covariance24,field.pose.covariance25,field.pose.covariance26,field.pose.covariance27,field.pose.covariance28,field.pose.covariance29,field.pose.covariance30,field.pose.covariance31,field.pose.covariance32,field.pose.covariance33,field.pose.covariance34,field.pose.covariance35,field.twist.twist.linear.x,field.twist.twist.linear.y,field.twist.twist.linear.z,field.twist.twist.angular.x,field.twist.twist.angular.y,field.twist.twist.angular.z,field.twist.covariance0,field.twist.covariance1,field.twist.covariance2,field.twist.covariance3,field.twist.covariance4,field.twist.covariance5,field.twist.covariance6,field.twist.covariance7,field.twist.covariance8,field.twist.covariance9,field.twist.covariance10,field.twist.covariance11,field.twist.covariance12,field.twist.covariance13,field.twist.covariance14,field.twist.covariance15,field.twist.covariance16,field.twist.covariance17,field.twist.covariance18,field.twist.covariance19,field.twist.covariance20,field.twist.covariance21,field.twist.covariance22,field.twist.covariance23,field.twist.covariance24,field.twist.covariance25,field.twist.covariance26,field.twist.covariance27,field.twist.covariance28,field.twist.covariance29,field.twist.covariance30,field.twist.covariance31,field.twist.covariance32,field.twist.covariance33,field.twist.covariance34,field.twist.covariance35
1403638518177829500,7749,1403638518177829500,world,odom,59220337.67949817,71227474.74814591,-54779276.17817664,-0.2837940683733288,0.7216497455777314,0.6282576033436879,0.06304724660566328,210485129372.27042,263842392466.3144,-12767051640.164167,158905.80828634638,2117485.5402374687,-1183631.5756072153,263842392466.3144,335632276455.0291,29799237406.725956,551305.5446370167,2666846.7578545706,-1506248.6301270952,-12767051640.164167,29799237406.725956,577094453779.9633,4390096.027619377,-80695.42195099998,-135852.18396039883,158905.80828634638,551305.5446370167,4390096.027619377,34.22652846253204,3.6757156193173897,0.9604523918104773,2117485.5402374687,2666846.7578545706,-80695.42195099998,3.6757156193173897,27.840353671089456,1.3935697479750155,-1183631.5756072153,-1506248.6301270952,-135852.18396039883,0.9604523918104773,1.3935697479750155,34.402139166288634,154909.56032196034,208380.73784292716,-123671.25790668787,0.0,0.0,0.0,26959878.578374278,34569350.61506776,7073851.539080193,0.0,0.0,0.0,34569350.61506776,45001732.39010019,16230111.526821699,0.0,0.0,0.0,7073851.539080193,16230111.526821699,90021147.75227834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1403638518227829500,7750,1403638518227829500,world,odom,59228083.141822375,71237893.76648758,-54785459.752436645,-0.28377518883454,0.7216333799747031,0.6282712262757769,0.06318364774321328,25.558568621784072,-30.907339686444235,-1.1461589461068164e-10,0.0008003194416502566,-0.0015565930776081408,0.0003620153198936252,-30.907339686444235,37.37701447460257,-1.2062934943922358e-10,-0.0009678553379002842,0.0018823895124830165,-0.00043784627875117837,-1.1461589461068164e-10,-1.2062934943922358e-10,0.0006251351894889873,3.886723718021388e-08,4.072697954758268e-08,8.918971633445334e-08,0.0008003194416502566,-0.0009678553379002842,3.886723718021388e-08,2.624999908130548e-05,-2.2296285917553985e-14,-1.3099771246428064e-14,-0.0015565930776081408,0.0018823895124830165,4.072697954758268e-08,-2.2296285917553985e-14,2.6249999193689084e-05,7.380465828809819e-14,0.0003620153198936252,-0.00043784627875117837,8.918971633445334e-08,-1.3099771246428064e-14,7.380465828809819e-14,2.6249999123343862e-05,154909.2283969143,208380.39328961502,-123671.94852153957,0.0,0.0,0.0,0.2507160372950966,0.0001433644612970509,-4.0054464292820037e-07,0.0,0.0,0.0,0.0001433644612970509,0.25018770839172166,-4.175206068174751e-07,0.0,0.0,0.0,-4.0054464292820037e-07,-4.175206068174751e-07,0.25015154329343925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1403638518277829500,7751,1403638518277829500,world,odom,59235828.58752488,71248312.76755401,-54791643.361202724,-0.28371717017700177,0.721600228564003,0.6283262623955181,0.06327547287228594,25.548398024119987,-30.901572134761274,-6.9453233225213975e-09,0.0007999809813274783,-0.0015552813017154358,0.0003608774429622208,-30.901572134761274,37.38256123828367,-7.229489909276143e-09,-0.0009680913411847661,0.0018812617814448485,-0.00043745596360466005,-6.9453233225213975e-09,-7.229489909276143e-09,0.0025011689839460134,6.067054010764333e-07,6.342349489661918e-07,1.3864215902444285e-06,0.0007999809813274783,-0.0009680913411847661,6.067054010764333e-07,0.00010250016377087482,-2.5181459524308006e-14,-2.28624907463639e-14,-0.0015552813017154358,0.0018812617814448485,6.342349489661918e-07,-2.5181459524308006e-14,0.00010250016542188685,4.4997637428094386e-13,0.0003608774429622208,-0.00043745596360466005,1.3864215902444285e-06,-2.28624907463639e-14,4.4997637428094386e-13,0.00010250016390491787,154908.89519148308,208380.04745765912,-123672.63764477526,0.0,0.0,0.0,0.2509364893426775,0.00013019789102954125,-6.152431570935494e-06,0.0,0.0,0.0,0.00013019789102954125,0.25040009922816375,-6.3871470953159065e-06,0.0,0.0,0.0,-6.152431570935494e-06,-6.3871470953159065e-06,0.25037386171832415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1403638518327829500,7752,1403638518327829500,world,odom,59243574.05353058,71258731.80105774,-54797827.03395332,-0.2837141765175125,0.7215729887898112,0.6283462967142939,0.06340046764308122,25.539420832610997,-30.8957369747164,-7.7820543402218e-08,0.0007988106122178507,-0.0015507715250559651,0.0003573640418586157,-30.8957369747164,37.38928853189892,-8.083606522196107e-08,-0.0009685381710218082,0.0018760074957486948,-0.0004370288089787915,-7.7820543402218e-08,-8.083606522196107e-08,0.005629528042940472,3.0411860249300044e-06,3.1805356440221436e-06,6.953865704053702e-06,0.0007988106122178507,-0.0009685381710218082,3.0411860249300044e-06,0.0002287514586828881,6.068919653395818e-13,2.948911091462226e-13,-0.0015507715250559651,0.0018760074957486948,3.1805356440221436e-06,6.068919653395818e-13,0.00022875146805894357,4.307889678172016e-12,0.0003573640418586157,-0.0004370288089787915,6.953865704053702e-06,2.948911091462226e-13,4.307889678172016e-12,0.00022875146072642464,154908.56335060424,208379.70277044832,-123673.32907706218,0.0,0.0,0.0,0.2512550600686768,8.069819506644265e-05,-3.091852280173507e-05,0.0,0.0,0.0,8.069819506644265e-05,0.25070786710918985,-3.210878033675898e-05,0.0,0.0,0.0,-3.091852280173507e-05,-3.210878033675898e-05,0.25071896926371395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1403638518377829500,7753,1403638518377829500,world,odom,59251319.46597753,71269150.76762089,-54804010.71178151,-0.28362869618265435,0.7215573136909577,0.6283933596915574,0.06349481283044603,25.531639249078026,-30.889834679132,-4.344886377337162e-07,0.0007952026700317838,-0.0015396667217611845,0.000348211411481194,-30.889834679132,37.39719839212912,-4.510959984872991e-07,-0.0009687139247220567,0.0018622038770073476,-0.0004360188874771106,-4.344886377337162e-07,-4.510959984872991e-07,0.010012597723194959,9.572341714706122e-06,1.00062155559621e-05,2.1879036733586853e-05,0.0007952026700317838,-0.0009687139247220567,9.572341714706122e-06,0.0004050029258228023,1.1973704474008428e-12,5.080568165102489e-13,-0.0015396667217611845,0.0018622038770073476,1.00062155559621e-05,1.1973704474008428e-12,0.0004050029547413432,1.0772760779660976e-11,0.000348211411481194,-0.0004360188874771106,2.1879036733586853e-05,5.080568165102489e-13,1.0772760779660976e-11,0.0004050029301260432,154908.23000531364,208379.35753255954,-123674.01959183617,0.0,0.0,0.0,0.2517289370932582,-4.883811491082513e-05,-9.726041409003424e-05,0.0,0.0,0.0,-4.883811491082513e-05,0.25116535696689724,-0.0001008773348147331,0.0,0.0,0.0,-9.726041409003424e-05,-0.0001008773348147331,0.25127429889837727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1403638518427829500,7754,1403638518427829500,world,odom,59259064.86178658,71279569.7169449,-54810194.42411958,-0.2835796056104235,0.721532520780609,0.6284299177727598,0.06363385251530009,25.52505673159547,-30.883866357708243,-1.6499218993982423e-06,0.0007878911310884776,-0.0015166068628314352,0.00032937003973602746,-30.883866357708243,37.4062940941472,-1.7121729647704557e-06,-0.0009691109073129041,0.001832927213609788,-0.00043423811697293507,-1.6499218993982423e-06,-1.7121729647704557e-06,0.015654533023091853,2.330778140679425e-05,2.4362911504619614e-05,5.327198283490402e-05,0.0007878911310884776,-0.0009691109073129041,2.330778140679425e-05,0.000631255283149141,3.33056982947822e-12,1.1427335201605022e-12,-0.0015166068628314352,0.001832927213609788,2.4362911504619614e-05,3.33056982947822e-12,0.000631255356706387,2.3977267660750306e-11,0.00032937003973602746,-0.00043423811697293507,5.327198283490402e-05,1.1427335201605022e-12,2.3977267660750306e-11,0.0006312552913869973,154907.89742868915,208379.0130916577,-123674.71022718518,0.0,0.0,0.0,0.2524373357672214,-0.0003182849764785245,-0.0002366703089416977,0.0,0.0,0.0,-0.0003182849764785245,0.2518475637551994,-0.0002453250372086683,0.0,0.0,0.0,-0.0002366703089416977,-0.0002453250372086683,0.2521597324009306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1403638518477829500,7755,1403638518477829500,world,odom,59266810.24096039,71289988.64905041,-54816378.17101518,-0.2835127465392163,0.721535816208918,0.6284435945272234,0.06375921090496242,25.51967871742999,-30.877834354813952,-4.914466526651206e-06,0.0007744613030725442,-0.0014751588387752028,0.00029550146682386135,-30.877834354813952,37.416580797403675,-5.097344908494099e-06,-0.0009694247417809489,0.0017797930243182171,-0.00043134314105187476,-4.914466526651206e-06,-5.097344908494099e-06,0.022562210831374916,4.8237440353043125e-05,5.042397458049523e-05,0.00011025929035705119,0.0007744613030725442,-0.0009694247417809489,4.8237440353043125e-05,0.0009075087556434082,3.354107575801557e-12,1.1742749691752591e-12,-0.0014751588387752028,0.0017797930243182171,5.042397458049523e-05,3.354107575801557e-12,0.0009075089202223339,5.347054631785021e-11,0.00029550146682386135,-0.00043134314105187476,0.00011025929035705119,1.1742749691752591e-12,5.347054631785021e-11,0.000907508773507297,154907.56449521414,208378.66821948704,-123675.40147083721,0.0,0.0,0.0,0.2534840878045279,-0.0008061797845059331,-0.0004903071733138131,0.0,0.0,0.0,-0.0008061797845059331,0.2528526171345305,-0.000508126680428299,0.0,0.0,0.0,-0.0004903071733138131,-0.000508126680428299,0.2535324585954799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1403638518527829500,7756,1403638518527829500,world,odom,59274555.6034916,71300407.5639235,-54822561.952453434,-0.28348813927166683,0.7215238013531655,0.6284560407581866,0.06388179558927885,25.515513304644696,-30.871742750842348,-1.2370764220114781e-05,0.0007524396277357886,-0.0014072257179916677,0.0002399176441842356,-30.871742750842348,37.428066272818164,-1.2826498644309226e-05,-0.000969849931727548,0.0016923073747589007,-0.00042666713360269644,-1.2370764220114781e-05,-1.2826498644309226e-05,0.030746543540114073,8.923866204288872e-05,9.329904465658892e-05,0.00020400840960406506,0.0007524396277357886,-0.000969849931727548,8.923866204288872e-05,0.0012337635869594404,-4.421710629649977e-12,-1.2039482633136845e-12,-0.0014072257179916677,0.0016923073747589007,9.329904465658892e-05,-4.421710629649977e-12,0.0012337638958172254,9.849183153051021e-11,0.0002399176441842356,-0.00042666713360269644,0.00020400840960406506,-1.2039482633136845e-12,9.849183153051021e-11,0.0012337636183458122,154907.23197565082,208378.32394504047,-123676.0920186035,0.0,0.0,0.0,0.25499136060220906,-0.0016058675487187599,-0.0009063860956552581,0.0,0.0,0.0,-0.0016058675487187599,0.2542966291969709,-0.0009390913434803409,0.0,0.0,0.0,-0.0009063860956552581,-0.0009390913434803409,0.25557929914794164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1403638518577829500,7757,1403638518577829500,world,odom,59282300.986304976,71310826.5112593,-54828745.79792802,-0.2834191108136538,0.7215116083619592,0.6284897989982464,0.06399358701995686,25.512572500266153,-30.865598272276195,-2.7531324022692816e-05,0.0007185384607059332,-0.0013034540844808196,0.0001547341225423406,-30.865598272276195,37.44076200148807,-2.8535044617715905e-05,-0.000970188764711116,0.0015582947859167588,-0.0004194559032734299,-2.7531324022692816e-05,-2.8535044617715905e-05,0.040224103134683206,0.0001520992917121108,0.00015899199852884615,0.0003476998890650177,0.0007185384607059332,-0.000970188764711116,0.0001520992917121108,0.001610021906587555,-1.607922201225396e-11,-5.159840620872654e-12,-0.0013034540844808196,0.0015582947859167588,0.00015899199852884615,-1.607922201225396e-11,0.0016100224398706527,1.7474611956311218e-10,0.0001547341225423406,-0.0004194559032734299,0.0003476998890650177,-5.159840620872654e-12,1.7474611956311218e-10,0.0016100219631613633,154906.8986611573,208377.97939351457,-123676.78301467083,0.0,0.0,0.0,0.2571098472952442,-0.002832076953174459,-0.001545517948217646,0.0,0.0,0.0,-0.002832076953174459,0.2563242329128811,-0.0016004462794527385,0.0,0.0,0.0,-0.001545517948217646,-0.0016004462794527385,0.2585297936341934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1403638518627829500,7758,1403638518627829500,world,odom,59290046.31555333,71321245.3917008,-54834929.64842777,-0.2833905825825877,0.7214885062750342,0.6285182741635121,0.06410064008293452,25.510873352625463,-30.85941130309201,-5.574390613846808e-05,0.0006693092766602029,-0.001152811863846753,3.1147649730042234e-05,-30.85941130309201,37.454684172147054,-5.776053276698456e-05,-0.0009705804084972995,0.001363476011361716,-0.0004091043057120995,-5.574390613846808e-05,-5.776053276698456e-05,0.05101878623671601,0.00024343147622926065,0.0002544586094770638,0.0005565165047432035,0.0006693092766602029,-0.0009705804084972995,0.00024343147622926065,0.0020362803735907075,-3.627110974443609e-11,-1.162201270070339e-11,-0.001152811863846753,0.001363476011361716,0.0002544586094770638,-3.627110974443609e-11,0.0020362812186991365,2.756018450173716e-10,3.1147649730042234e-05,-0.0004091043057120995,0.0005565165047432035,-1.162201270070339e-11,2.756018450173716e-10,0.0020362804612664787,154906.56629692344,208377.6356396226,-123677.47325772262,0.0,0.0,0.0,0.2600019145267128,-0.004608117949851649,-0.00247106794664216,0.0,0.0,0.0,-0.004608117949851649,0.2590877642401585,-0.002558203081153546,0.0,0.0,0.0,-0.00247106794664216,-0.002558203081153546,0.2626308084365851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
