%time,field.header.seq,field.header.stamp,field.header.frame_id,field.before_tracking,field.after_tracking,field.after_matching,field.after_ransac
1403636580613555500,1367,1403636580613555500,,29,29,22,17
1403636580663555500,1368,1403636580663555500,,21,21,18,18
1403636580713555500,1369,1403636580713555500,,26,26,25,24
1403636580763555500,1370,1403636580763555500,,37,37,33,22
1403636580813555500,1371,1403636580813555500,,35,35,30,26
1403636580863555500,1372,1403636580863555500,,34,34,32,23
1403636580913555500,1373,1403636580913555500,,41,41,39,26
1403636580963555500,1374,1403636580963555500,,48,48,45,44
1403636581013555500,1375,1403636581013555500,,51,51,51,51
1403636581063555500,1376,1403636581063555500,,60,60,58,58
1403636581113555500,1377,1403636581113555500,,62,59,57,57
1403636581163555500,1378,1403636581163555500,,64,63,63,48
1403636581213555500,1379,1403636581213555500,,60,58,58,56
1403636581263555500,1380,1403636581263555500,,64,64,60,56
1403636581313555500,1381,1403636581313555500,,64,64,61,59
1403636581363555500,1382,1403636581363555500,,63,63,62,61
1403636581413555500,1383,1403636581413555500,,64,64,64,56
1403636581463555500,1384,1403636581463555500,,62,62,61,61
1403636581513555500,1385,1403636581513555500,,59,57,57,52
1403636581563555500,1386,1403636581563555500,,59,58,58,55
1403636581613555500,1387,1403636581613555500,,62,61,59,59
1403636581663555500,1388,1403636581663555500,,63,63,63,61
1403636581713555500,1389,1403636581713555500,,64,59,58,45
1403636581763555500,1390,1403636581763555500,,60,60,59,49
1403636581813555500,1391,1403636581813555500,,58,58,55,25
1403636581863555500,1392,1403636581863555500,,54,53,44,40
1403636581913555500,1393,1403636581913555500,,49,48,44,43
1403636581963555500,1394,1403636581963555500,,47,47,44,34
1403636582013555500,1395,1403636582013555500,,47,46,40,33
1403636582063555500,1396,1403636582063555500,,39,37,36,32
1403636582113555500,1397,1403636582113555500,,38,36,30,27
1403636582163555500,1398,1403636582163555500,,37,34,30,28
1403636582213555500,1399,1403636582213555500,,35,35,33,29
1403636582263555500,1400,1403636582263555500,,38,38,37,31
1403636582313555500,1401,1403636582313555500,,35,35,33,26
1403636582363555500,1402,1403636582363555500,,36,36,32,30
1403636582413555500,1403,1403636582413555500,,37,37,34,33
1403636582463555500,1404,1403636582463555500,,37,37,33,33
1403636582513555500,1405,1403636582513555500,,40,40,38,37
1403636582563555500,1406,1403636582563555500,,44,44,39,35
1403636582613555500,1407,1403636582613555500,,51,51,49,43
1403636582663555500,1408,1403636582663555500,,52,52,48,29
1403636582713555500,1409,1403636582713555500,,49,49,49,39
1403636582763555500,1410,1403636582763555500,,55,55,54,41
1403636582813555500,1411,1403636582813555500,,57,57,57,22
1403636582863555500,1412,1403636582863555500,,55,52,52,24
1403636582913555500,1413,1403636582913555500,,56,55,54,31
1403636582963555500,1414,1403636582963555500,,59,57,54,48
1403636583013555500,1415,1403636583013555500,,60,60,56,50
1403636583063555500,1416,1403636583063555500,,60,59,59,58
1403636583113555500,1417,1403636583113555500,,64,64,62,61
1403636583163555500,1418,1403636583163555500,,64,64,64,61
1403636583213555500,1419,1403636583213555500,,65,65,62,58
1403636583263555500,1420,1403636583263555500,,62,61,60,55
1403636583313555500,1421,1403636583313555500,,62,62,60,59
1403636583363555500,1422,1403636583363555500,,60,59,59,52
1403636583413555500,1423,1403636583413555500,,64,64,63,52
1403636583463555500,1424,1403636583463555500,,61,61,60,41
1403636583513555500,1425,1403636583513555500,,60,60,58,48
1403636583563555500,1426,1403636583563555500,,58,58,56,52
1403636583613555500,1427,1403636583613555500,,62,61,53,52
1403636583663555500,1428,1403636583663555500,,55,54,50,44
1403636583713555500,1429,1403636583713555500,,54,53,48,39
1403636583763555500,1430,1403636583763555500,,47,45,40,32
1403636583813555500,1431,1403636583813555500,,43,43,37,28
1403636583863555500,1432,1403636583863555500,,37,35,32,26
1403636583913555500,1433,1403636583913555500,,38,38,37,31
1403636583963555500,1434,1403636583963555500,,36,36,34,23
1403636584013555500,1435,1403636584013555500,,31,31,27,23
1403636584063555500,1436,1403636584063555500,,34,34,29,27
1403636584113555500,1437,1403636584113555500,,34,34,33,33
1403636584163555500,1438,1403636584163555500,,36,36,32,23
1403636584213555500,1439,1403636584213555500,,30,30,30,27
1403636584263555500,1440,1403636584263555500,,36,36,31,27
1403636584313555500,1441,1403636584313555500,,35,35,33,33
1403636584363555500,1442,1403636584363555500,,37,36,34,31
1403636584413555500,1443,1403636584413555500,,39,39,39,34
1403636584463555500,1444,1403636584463555500,,45,45,42,38
1403636584513555500,1445,1403636584513555500,,52,52,46,45
1403636584563555500,1446,1403636584563555500,,52,52,50,43
1403636584613555500,1447,1403636584613555500,,54,53,51,26
1403636584663555500,1448,1403636584663555500,,55,54,50,29
1403636584713555500,1449,1403636584713555500,,58,55,54,44
1403636584763555500,1450,1403636584763555500,,63,61,58,43
1403636584813555500,1451,1403636584813555500,,61,59,58,50
1403636584863555500,1452,1403636584863555500,,61,61,59,44
1403636584913555500,1453,1403636584913555500,,61,61,58,58
1403636584963555500,1454,1403636584963555500,,63,63,62,53
1403636585013555500,1455,1403636585013555500,,64,64,63,62
1403636585063555500,1456,1403636585063555500,,64,64,64,64
1403636585113555500,1457,1403636585113555500,,65,64,62,61
1403636585163555500,1458,1403636585163555500,,64,63,60,56
1403636585213555500,1459,1403636585213555500,,63,63,60,54
1403636585263555500,1460,1403636585263555500,,61,60,59,57
1403636585313555500,1461,1403636585313555500,,61,61,57,53
1403636585363555500,1462,1403636585363555500,,60,60,56,55
1403636585413555500,1463,1403636585413555500,,59,59,59,58
1403636585463555500,1464,1403636585463555500,,59,59,57,35
1403636585513555500,1465,1403636585513555500,,57,57,57,34
1403636585563555500,1466,1403636585563555500,,58,57,54,13
1403636585613555500,1467,1403636585613555500,,50,50,49,17
1403636585663555500,1468,1403636585663555500,,47,47,44,23
1403636585713555500,1469,1403636585713555500,,49,48,48,37
1403636585763555500,1470,1403636585763555500,,53,50,47,41
1403636585813555500,1471,1403636585813555500,,52,52,50,41
1403636585863555500,1472,1403636585863555500,,50,47,45,32
1403636585913555500,1473,1403636585913555500,,50,50,49,28
1403636585963555500,1474,1403636585963555500,,47,46,45,31
1403636586013555500,1475,1403636586013555500,,47,44,44,36
1403636586063555500,1476,1403636586063555500,,45,40,39,35
1403636586113555500,1477,1403636586113555500,,45,42,42,32
