%time,field.header.seq,field.header.stamp,field.header.frame_id,field.before_tracking,field.after_tracking,field.after_matching,field.after_ransac
1403715887934058000,5358,1403715887934058000,,32,32,32,31
1403715887984058000,5359,1403715887984058000,,32,32,32,31
1403715888034058000,5360,1403715888034058000,,32,32,30,29
1403715888084058000,5361,1403715888084058000,,30,30,29,28
1403715888134058000,5362,1403715888134058000,,32,32,31,30
1403715888184058000,5363,1403715888184058000,,31,31,31,31
1403715888234058000,5364,1403715888234058000,,31,31,31,29
1403715888284058000,5365,1403715888284058000,,31,31,31,30
1403715888334058000,5366,1403715888334058000,,34,34,32,30
1403715888384058000,5367,1403715888384058000,,32,32,32,32
1403715888434058000,5368,1403715888434058000,,32,32,32,32
1403715888484058000,5369,1403715888484058000,,32,32,32,30
1403715888534058000,5370,1403715888534058000,,33,33,32,32
1403715888584058000,5371,1403715888584058000,,34,34,32,32
1403715888634058000,5372,1403715888634058000,,32,32,32,31
1403715888684058000,5373,1403715888684058000,,32,32,32,30
1403715888734058000,5374,1403715888734058000,,33,33,33,29
1403715888784058000,5375,1403715888784058000,,30,30,30,30
1403715888834058000,5376,1403715888834058000,,33,33,31,31
1403715888884058000,5377,1403715888884058000,,31,31,31,31
1403715888934058000,5378,1403715888934058000,,31,31,31,31
1403715888984058000,5379,1403715888984058000,,32,32,32,31
1403715889034058000,5380,1403715889034058000,,31,31,29,25
1403715889084058000,5381,1403715889084058000,,30,30,29,26
1403715889134058000,5382,1403715889134058000,,31,31,31,31
1403715889184058000,5383,1403715889184058000,,33,33,31,29
1403715889234058000,5384,1403715889234058000,,32,32,32,32
1403715889284058000,5385,1403715889284058000,,32,32,32,29
1403715889334058000,5386,1403715889334058000,,33,33,32,31
1403715889384058000,5387,1403715889384058000,,35,35,34,33
1403715889434058000,5388,1403715889434058000,,34,34,32,31
1403715889484058000,5389,1403715889484058000,,33,33,33,32
1403715889534058000,5390,1403715889534058000,,34,34,32,32
1403715889584058000,5391,1403715889584058000,,34,34,33,33
1403715889634058000,5392,1403715889634058000,,34,34,33,32
1403715889684058000,5393,1403715889684058000,,34,34,34,32
1403715889734058000,5394,1403715889734058000,,35,35,34,32
1403715889784058000,5395,1403715889784058000,,35,35,35,32
1403715889834058000,5396,1403715889834058000,,34,34,33,33
1403715889884058000,5397,1403715889884058000,,35,35,35,35
1403715889934058000,5398,1403715889934058000,,36,36,34,29
1403715889984058000,5399,1403715889984058000,,33,33,33,28
1403715890034058000,5400,1403715890034058000,,31,31,30,29
1403715890084058000,5401,1403715890084058000,,32,32,32,30
1403715890134058000,5402,1403715890134058000,,32,32,32,30
1403715890184058000,5403,1403715890184058000,,32,32,32,31
1403715890234058000,5404,1403715890234058000,,33,33,32,32
1403715890284058000,5405,1403715890284058000,,33,33,30,30
1403715890334058000,5406,1403715890334058000,,31,31,31,30
1403715890384058000,5407,1403715890384058000,,32,32,32,29
1403715890434058000,5408,1403715890434058000,,33,33,31,29
1403715890484058000,5409,1403715890484058000,,32,32,32,31
1403715890534058000,5410,1403715890534058000,,32,32,31,31
1403715890584058000,5411,1403715890584058000,,34,34,34,33
1403715890634058000,5412,1403715890634058000,,34,34,34,31
1403715890684058000,5413,1403715890684058000,,35,35,33,30
1403715890734058000,5414,1403715890734058000,,34,34,33,31
1403715890784058000,5415,1403715890784058000,,33,33,32,30
1403715890834058000,5416,1403715890834058000,,32,32,32,31
1403715890884058000,5417,1403715890884058000,,34,34,33,33
1403715890934058000,5418,1403715890934058000,,34,34,33,32
1403715890984058000,5419,1403715890984058000,,33,33,33,32
1403715891034058000,5420,1403715891034058000,,33,33,33,32
1403715891084058000,5421,1403715891084058000,,34,34,34,34
