%time,field.header.seq,field.header.stamp,field.header.frame_id,field.before_tracking,field.after_tracking,field.after_matching,field.after_ransac
1413393213105760500,12059,1413393213105760500,,55,55,53,53
1413393213155760500,12060,1413393213155760500,,53,53,53,53
1413393213205760500,12061,1413393213205760500,,55,55,55,55
1413393213255760500,12062,1413393213255760500,,55,55,55,55
1413393213305760500,12063,1413393213305760500,,55,55,55,55
1413393213355760500,12064,1413393213355760500,,55,55,54,54
1413393213405760500,12065,1413393213405760500,,55,55,55,55
1413393213455760500,12066,1413393213455760500,,55,55,54,54
1413393213505760500,12067,1413393213505760500,,55,55,55,55
1413393213555760500,12068,1413393213555760500,,55,55,55,55
1413393213605760500,12069,1413393213605760500,,55,55,55,55
1413393213655760500,12070,1413393213655760500,,55,55,55,55
1413393213705760500,12071,1413393213705760500,,55,55,55,55
1413393213755760500,12072,1413393213755760500,,55,55,55,55
1413393213805760500,12073,1413393213805760500,,55,55,55,55
1413393213855760500,12074,1413393213855760500,,55,55,55,55
1413393213905760500,12075,1413393213905760500,,55,55,55,54
1413393213955760500,12076,1413393213955760500,,55,55,55,55
1413393214005760500,12077,1413393214005760500,,55,55,55,55
1413393214055760500,12078,1413393214055760500,,55,55,54,53
1413393214105760500,12079,1413393214105760500,,54,54,54,54
1413393214155760500,12080,1413393214155760500,,54,54,54,54
1413393214205760500,12081,1413393214205760500,,54,54,53,53
1413393214255760500,12082,1413393214255760500,,53,53,53,53
1413393214305760500,12083,1413393214305760500,,54,54,54,54
1413393214355760500,12084,1413393214355760500,,54,54,54,54
1413393214405760500,12085,1413393214405760500,,54,54,54,54
1413393214455760500,12086,1413393214455760500,,54,54,54,54
1413393214505760500,12087,1413393214505760500,,54,54,54,54
1413393214555760500,12088,1413393214555760500,,54,54,54,54
1413393214605760500,12089,1413393214605760500,,54,54,54,54
1413393214655760500,12090,1413393214655760500,,55,55,55,54
1413393214705760500,12091,1413393214705760500,,54,54,54,54
1413393214755760500,12092,1413393214755760500,,55,55,51,51
1413393214805760500,12093,1413393214805760500,,51,51,51,51
1413393214855760500,12094,1413393214855760500,,51,51,51,51
1413393214905760500,12095,1413393214905760500,,51,51,51,51
1413393214955760500,12096,1413393214955760500,,51,51,51,51
1413393215005760500,12097,1413393215005760500,,51,51,51,51
1413393215055760500,12098,1413393215055760500,,51,51,51,51
1413393215105760500,12099,1413393215105760500,,53,53,52,52
1413393215155760500,12100,1413393215155760500,,52,52,52,51
1413393215205760500,12101,1413393215205760500,,52,52,52,52
1413393215255760500,12102,1413393215255760500,,52,52,52,52
1413393215305760500,12103,1413393215305760500,,52,52,52,52
1413393215355760500,12104,1413393215355760500,,53,53,52,52
1413393215405760500,12105,1413393215405760500,,52,52,52,52
1413393215455760500,12106,1413393215455760500,,53,53,52,52
1413393215505760500,12107,1413393215505760500,,52,52,52,52
1413393215555760500,12108,1413393215555760500,,53,53,53,53
1413393215605760500,12109,1413393215605760500,,53,53,53,53
1413393215655760500,12110,1413393215655760500,,53,53,52,52
1413393215705760500,12111,1413393215705760500,,53,53,53,53
1413393215755760500,12112,1413393215755760500,,53,53,53,53
1413393215805760500,12113,1413393215805760500,,54,54,54,53
1413393215855760500,12114,1413393215855760500,,54,54,53,53
1413393215905760500,12115,1413393215905760500,,54,54,52,52
1413393215955760500,12116,1413393215955760500,,54,54,54,54
1413393216005760500,12117,1413393216005760500,,55,55,54,54
1413393216055760500,12118,1413393216055760500,,54,54,54,54
1413393216105760500,12119,1413393216105760500,,54,54,54,54
1413393216155760500,12120,1413393216155760500,,54,54,54,54
1413393216205760500,12121,1413393216205760500,,54,54,54,54
1413393216255760500,12122,1413393216255760500,,54,54,53,53
1413393216305760500,12123,1413393216305760500,,55,55,53,53
1413393216355760500,12124,1413393216355760500,,53,53,53,53
1413393216405760500,12125,1413393216405760500,,53,53,53,52
1413393216455760500,12126,1413393216455760500,,52,52,52,52
1413393216505760500,12127,1413393216505760500,,53,51,50,50
1413393216555760500,12128,1413393216555760500,,52,52,52,52
1413393216605760500,12129,1413393216605760500,,53,53,53,53
1413393216655760500,12130,1413393216655760500,,53,53,52,52
1413393216705760500,12131,1413393216705760500,,52,52,51,47
1413393216755760500,12132,1413393216755760500,,51,51,50,48
1413393216805760500,12133,1413393216805760500,,52,52,52,52
1413393216855760500,12134,1413393216855760500,,54,54,54,54
1413393216905760500,12135,1413393216905760500,,54,54,54,54
1413393216955760500,12136,1413393216955760500,,55,55,55,54
1413393217005760500,12137,1413393217005760500,,54,54,54,54
1413393217055760500,12138,1413393217055760500,,57,57,57,57
1413393217105760500,12139,1413393217105760500,,57,57,56,56
1413393217155760500,12140,1413393217155760500,,58,58,58,58
1413393217205760500,12141,1413393217205760500,,59,59,59,59
1413393217255760500,12142,1413393217255760500,,60,60,60,60
1413393217305760500,12143,1413393217305760500,,60,60,60,60
1413393217355760500,12144,1413393217355760500,,60,60,60,60
1413393217405760500,12145,1413393217405760500,,60,60,60,60
1413393217455760500,12146,1413393217455760500,,60,60,60,60
1413393217505760500,12147,1413393217505760500,,60,60,59,59
1413393217555760500,12148,1413393217555760500,,60,60,60,60
1413393217605760500,12149,1413393217605760500,,60,60,60,60
1413393217655760500,12150,1413393217655760500,,60,60,60,60
1413393217705760500,12151,1413393217705760500,,60,60,60,60
1413393217755760500,12152,1413393217755760500,,60,60,60,60
1413393217805760500,12153,1413393217805760500,,59,59,59,59
1413393217855760500,12154,1413393217855760500,,59,59,59,59
1413393217905760500,12155,1413393217905760500,,60,60,60,60
1413393217955760500,12156,1413393217955760500,,61,61,61,61
1413393218005760500,12157,1413393218005760500,,61,61,61,61
1413393218055760500,12158,1413393218055760500,,62,62,62,56
1413393218105760500,12159,1413393218105760500,,63,63,63,53
1413393218155760500,12160,1413393218155760500,,62,62,61,30
1413393218205760500,12161,1413393218205760500,,52,52,52,25
1413393218255760500,12162,1413393218255760500,,54,54,53,31
1413393218305760500,12163,1413393218305760500,,50,50,50,27
1413393218355760500,12164,1413393218355760500,,52,52,51,51
1413393218405760500,12165,1413393218405760500,,54,54,53,48
1413393218455760500,12166,1413393218455760500,,56,56,54,43
1413393218505760500,12167,1413393218505760500,,50,50,49,38
1413393218555760500,12168,1413393218555760500,,52,52,51,49
1413393218605760500,12169,1413393218605760500,,51,51,51,44
1413393218655760500,12170,1413393218655760500,,53,53,50,46
1413393218705760500,12171,1413393218705760500,,53,53,50,49
1413393218755760500,12172,1413393218755760500,,49,49,49,49
1413393218805760500,12173,1413393218805760500,,51,50,46,43
1413393218855760500,12174,1413393218855760500,,49,45,44,33
1413393218905760500,12175,1413393218905760500,,40,40,40,36
1413393218955760500,12176,1413393218955760500,,44,44,40,32
1413393219005760500,12177,1413393219005760500,,43,43,40,35
1413393219055760500,12178,1413393219055760500,,45,45,42,39
1413393219105760500,12179,1413393219105760500,,45,45,42,42
1413393219155760500,12180,1413393219155760500,,48,48,47,44
1413393219205760500,12181,1413393219205760500,,46,46,42,42
1413393219255760500,12182,1413393219255760500,,45,45,45,42
1413393219305760500,12183,1413393219305760500,,51,51,50,49
1413393219355760500,12184,1413393219355760500,,54,54,54,54
1413393219405760500,12185,1413393219405760500,,55,55,53,53
1413393219455760500,12186,1413393219455760500,,61,61,60,55
1413393219505760500,12187,1413393219505760500,,59,59,56,53
